City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tozeur,33.9197,8.1335,39.22,18,15,8.75,TN,1688858901
83,inhambane,-23.865,35.3833,18.63,82,0,5.23,MZ,1688858902
84,opuwo,-18.0607,13.84,14.88,35,0,3.1,NA,1688858902
85,dudinka,69.4058,86.1778,14.79,79,100,2.75,RU,1688858903
86,labytnangi,66.6572,66.4183,10.52,91,65,0.76,RU,1688858903
87,puerto lempira,15.2667,-83.7667,29.08,70,20,3.09,HN,1688858904
88,oodweyne,9.4092,45.064,23.18,50,51,9.41,SO,1688858721
89,barra,-11.0894,-43.1417,25.62,55,0,3.46,BR,1688858905
90,al kharj,24.155,47.3346,34.32,10,68,2.07,SA,1688858906
91,margaret river,-33.95,115.0667,14.54,74,100,6.46,AU,1688858906
92,peterhead,57.5058,-1.7981,16.22,92,95,5.18,GB,1688858907
93,weno,7.4515,151.8468,26.97,100,100,1.54,FM,1688858907
94,hinton,53.4001,-117.5857,28.43,27,39,1.51,CA,1688858908
95,zin'kiv,50.2081,34.3638,18.02,96,100,5.87,UA,1688858908
96,pertek,38.8663,39.3268,21.76,55,26,1.22,TR,1688858909
97,joshimath,30.5667,79.5667,21.41,90,99,0.34,IN,1688858910
98,lumphat,13.4878,106.9816,23.56,97,100,0.95,KH,1688858910
99,katsuura,35.1333,140.3,25.56,91,100,11.12,JP,1688858911
100,champerico,14.3,-91.9167,24.3,72,66,2.88,GT,1688858912
101,uturoa,-16.7333,-151.4333,26.87,79,41,8.45,PF,1688858913
102,forster,-32.1667,152.5167,16.27,55,0,6.62,AU,1688858913
103,narasapur,16.45,81.6667,27.85,80,100,2.06,IN,1688858914
104,sungai penuh,-2.0833,101.3833,17.19,89,90,1.42,ID,1688858915
105,ghat,24.9647,10.1728,29.92,13,0,5.07,LY,1688858915
106,taro,-8.3862,115.28,22.0,97,100,1.23,ID,1688858916
107,puerto la cruz,10.2167,-64.6167,26.41,86,66,3.97,VE,1688858692
108,sinop,41.7711,34.8709,17.34,88,86,3.15,TR,1688858917
109,carleton place,45.1334,-76.1494,25.15,72,94,1.34,CA,1688858917
110,cockburn town,21.4612,-71.1419,27.97,80,5,7.34,TC,1688858918
111,new norfolk,-42.7826,147.0587,9.72,73,16,4.82,AU,1688858654
112,ust-nera,64.5667,143.2,8.47,88,100,5.17,RU,1688858879
113,pionerskiy,54.9508,20.2275,15.42,83,5,3.99,RU,1688858919
114,sisimiut,66.9395,-53.6735,8.53,90,100,1.47,GL,1688858867
115,ilhabela,-23.7781,-45.3581,22.62,64,93,1.84,BR,1688858920
116,salinopolis,-0.6136,-47.3561,25.59,86,36,4.14,BR,1688858633
117,port hedland,-20.3167,118.5667,10.03,43,5,4.12,AU,1688858921
118,vadso,70.0744,29.7487,7.49,81,100,3.09,NO,1688858878
119,salalah,17.0151,54.0924,26.05,100,100,1.54,OM,1688858923
120,hithadhoo,-0.6,73.0833,27.1,69,87,1.19,MV,1688858884
121,lebu,-37.6167,-73.65,9.47,75,100,2.56,CL,1688858924
122,khark,29.2614,50.3306,31.14,73,0,1.76,IR,1688858924
123,susuman,62.7833,148.1667,12.62,87,100,1.21,RU,1688858920
124,utrik,11.2278,169.8474,28.13,79,100,8.3,MH,1688858926
125,tyukhtet,56.5389,89.3011,15.73,95,53,3.08,RU,1688858926
126,namibe,-15.1961,12.1522,17.18,90,5,0.48,AO,1688858927
127,kostomuksha,64.571,30.5767,6.52,89,76,0.26,RU,1688858927
128,nagqu,31.5,92.0,4.39,88,74,0.95,CN,1688858928
129,ilulissat,69.2167,-51.1,7.01,93,100,0.0,GL,1688858928
130,nemuro,43.3236,145.575,13.77,96,80,2.16,JP,1688858929
131,aykhal,66.0,111.5,19.66,52,78,7.23,RU,1688858930
132,apolinario saravia,-24.4328,-63.9954,16.72,79,90,1.53,AR,1688858930
133,rumoi,43.9344,141.6428,23.96,71,76,1.62,JP,1688858931
134,saipan,15.1355,145.701,29.8,100,40,8.23,MP,1688858931
135,yendi,9.4427,-0.0099,22.89,92,93,1.68,GH,1688858932
136,beihai,21.4833,109.1,28.91,82,80,3.39,CN,1688858932
